suite,task,arch,run_id,seed,lr,wd,dropout,optimizer,epochs,batch_size,n_train,n_test,metric_n,device,val_loss_ep12,val_acc_ep12,val_loss_ep25,val_acc_ep25,train_loss,train_acc,val_loss,final_acc,confidence_mean,entropy_mean,margin_mean,brier,ece,logit_norm_mean,metric_batch_acc,metric_batch_loss,feature_erank,feature_erank_norm,feature_norm_mean,feature_cosine_mean,weight_l2,weight_l1,weight_linf,weight_rms,distance_from_init_l2,relative_distance_from_init,update_to_weight_ratio,grad_norm,grad_l1,grad_linf,grad_mean_abs,fisher_trace,fisher_spectral,fisher_stable_rank,fisher_entropy,fim_erank,fim_norm,fisher_condition,grad_noise_scale,per_sample_grad_norm_mean,per_sample_grad_norm_std,sam_sharpness,asam_sharpness,hessian_trace_hutchinson,hessian_top_eig_power,random_metric,elapsed_s,hessian_error
image,cifar10,vit,122,2970928,0.0020321218937342563,1.6451778600266048e-06,0.1,adamw,25,128,20000,5000,16,cuda,1.2907752561569215,0.5278,1.2176489514350892,0.572,0.7149861678481102,0.7333984375,1.2176489514350892,0.572,0.7309339046478271,0.8068749904632568,0.5793830752372742,0.31571438908576965,0.22067898511886597,8.48985481262207,0.75,0.618189811706543,8.66297972123934,0.5414362325774588,8.889276504516602,0.21457895636558533,113.6194839477539,77807.2734375,1.391153335571289,0.12629543244838715,100.03557586669922,1.8249045610427856,0.8804438710212708,3.514498710632324,1025.683837890625,0.2443607747554779,0.0012672870652750134,198.83470153808594,60.31538772583008,3.2965833269928835,1.8950750827789307,6.6530483955696305,0.4158155247231019,1862.6597900390625,15.097772598266602,10.765827178955078,9.106687545776367,0.17478221654891968,0.3109336495399475,,,0.3873908519744873,101.7330527305603,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,123,1274193,0.0033292848425524385,3.1275643904307913e-06,0.2,sgd,25,128,20000,5000,16,cuda,1.455335697555542,0.482,1.2369807563781738,0.561,1.006391167640686,0.62890625,1.2369807563781738,0.561,0.6644425988197327,0.9445107579231262,0.4759172797203064,0.5494077205657959,0.25502437353134155,8.72326946258545,0.625,1.063437819480896,8.731801968920019,0.5457376230575012,11.389419555664062,0.10845422744750977,55.373779296875,33187.9765625,1.0628739595413208,0.061551544815301895,7.463966369628906,0.1363006830215454,0.13479243218898773,14.265605926513672,5632.1611328125,0.47039973735809326,0.006958835292607546,2672.462890625,808.4482421875,3.305669740086074,2.0050082206726074,7.426156203492637,0.4641347627182898,1435.273193359375,12.132011413574219,40.8824462890625,31.639970779418945,0.7864168882369995,0.6524101495742798,,,1.2467327117919922,101.20865797996521,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,124,4716390,0.0001373909369135786,6.798061745766439e-06,0.05,adamw,25,128,20000,5000,16,cuda,1.1813918785095214,0.5778,1.3189129220962525,0.595,0.38848984241485596,0.8759765625,1.3189129220962525,0.595,0.8417253494262695,0.5078936815261841,0.7355356216430664,0.11349480599164963,0.11351034045219421,8.701238632202148,0.9375,0.24956195056438446,9.500249859913234,0.5937656162445771,12.083940505981445,0.053632091730833054,56.826541900634766,34148.9375,1.118729829788208,0.06316624581813812,12.189007759094238,0.22252699732780457,0.2144949734210968,10.932856559753418,4731.806640625,0.5000558495521545,0.00584639934822917,1924.864013671875,826.4022216796875,2.3292096308254453,1.7614160776138306,5.820673877152683,0.3637921173220427,186749.828125,15.103970527648926,31.790815353393555,30.235864639282227,1.0689172744750977,0.7582449316978455,,,-0.05175372585654259,101.3939139842987,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,125,3495687,0.01602035388528903,6.520492756123337e-06,0.1,sgd,25,128,20000,5000,16,cuda,1.3466591577529907,0.5304,1.3076624471664429,0.5704,0.677980363368988,0.75390625,1.3076624471664429,0.5704,0.7751728892326355,0.6471648812294006,0.6353561878204346,0.46802425384521484,0.2291218787431717,11.411567687988281,0.625,0.8568878173828125,9.2141608017835,0.5758850501114687,9.957380294799805,0.17330829799175262,58.76166534423828,35661.953125,1.1588239669799805,0.06531740725040436,19.76456069946289,0.3607526123523712,0.33635127544403076,10.105788230895996,5079.8359375,0.3025819659233093,0.006276408210396767,1346.1978759765625,477.176513671875,2.8211737950335443,1.7931591272354126,6.008403361960366,0.3755252101225229,50836.078125,12.18161678314209,25.450769424438477,26.428329467773438,0.535155177116394,0.573870062828064,,,0.8325734734535217,100.67920565605164,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,126,6547769,0.004361390811187079,0.000543850436976633,0.2,sgd,25,128,20000,5000,16,cuda,1.3903083013534545,0.5046,1.1934210941314698,0.5742,1.0261898785829544,0.6328125,1.1934210941314698,0.5742,0.5936468839645386,1.1112916469573975,0.3913176655769348,0.5993808507919312,0.2817564606666565,7.8874993324279785,0.625,1.2007725238800049,9.520560510193341,0.5950350318870838,10.3922119140625,0.187761127948761,50.91526412963867,30497.37890625,0.9988633394241333,0.05659562721848488,9.496073722839355,0.17342053353786469,0.18650740385055542,11.580034255981445,4977.53125,0.31253769993782043,0.0061500053852796555,2425.570068359375,549.4424438476562,4.414602649503189,2.168222427368164,8.74272987868653,0.5464206174179081,5379.41796875,17.088146209716797,40.59557342529297,27.884929656982422,0.69355309009552,0.5457088947296143,,,0.05831689387559891,100.92259430885315,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,127,7676178,0.0015890579167131772,0.0005067419976483663,0.05,sgd,25,128,20000,5000,16,cuda,1.3712414470672607,0.502,1.2374222587585448,0.5524,0.9981453195214272,0.623046875,1.2374222587585448,0.5524,0.6618342399597168,0.9670203328132629,0.484333872795105,0.43944069743156433,0.2659575343132019,8.004110336303711,0.6875,0.9310470223426819,9.655565983732826,0.6034728739833016,11.149454116821289,0.10875295847654343,53.45735168457031,31987.68359375,1.0168092250823975,0.05942126363515854,5.314833641052246,0.09709396958351135,0.09942194074392319,12.92809009552002,5871.080078125,0.37613195180892944,0.007254032418131828,2676.46826171875,648.6117553710938,4.126456604517511,2.1296167373657227,8.411641427626218,0.5257275892266386,5456.9384765625,15.013764381408691,42.016563415527344,30.184057235717773,0.7473003268241882,0.5096974968910217,,,0.8007097840309143,100.82075357437134,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,128,6676104,0.006283212573556158,1.4764787473666544e-05,0.1,sgd,25,128,20000,5000,16,cuda,1.4398615249633788,0.493,1.296287872314453,0.565,0.8801074326038361,0.703125,1.296287872314453,0.565,0.7053666114807129,0.7576605677604675,0.5139124989509583,0.3365302085876465,0.26765766739845276,9.27096176147461,0.75,0.5865680575370789,9.454079165421007,0.5908799478388129,11.275901794433594,0.1717107892036438,56.22233963012695,33770.40625,1.0872371196746826,0.06249471753835678,11.435503005981445,0.20875173807144165,0.20339785516262054,7.230743885040283,3616.447021484375,0.18078488111495972,0.004468312952667475,924.4403076171875,253.00961303710938,3.6537754297959997,2.0326955318450928,7.634637890618594,0.4771648681636621,5155.37255859375,16.681243896484375,23.482526779174805,19.31349754333496,0.4461643695831299,0.3845387101173401,,,0.778967022895813,100.93443393707275,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,129,5401655,0.010940944866695413,0.0010602247438180256,0.1,sgd,25,128,20000,5000,16,cuda,1.328309917640686,0.517,1.1946395740509033,0.5754,0.9114432409405708,0.6689453125,1.1946395740509033,0.5754,0.6812530755996704,0.9043167233467102,0.5016951560974121,0.4514441192150116,0.3051585555076599,8.511762619018555,0.625,1.116906762123108,9.39814052256151,0.5873837826600944,7.4945220947265625,0.15607084333896637,39.13267135620117,23265.912109375,0.8307124376296997,0.043498553335666656,22.471670150756836,0.4105456471443176,0.5742431879043579,8.832662582397461,4441.0546875,0.22248950600624084,0.005487159825861454,891.8153686523438,281.33233642578125,3.169971074006318,1.8932958841323853,6.6412220420427435,0.41507637762767147,2433.026123046875,10.431197166442871,22.553585052490234,19.57425308227539,0.454217791557312,0.3368239402770996,,,-1.9611036777496338,100.92379951477051,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,130,5815210,0.0018095200689374844,0.00014184541382329842,0.0,adamw,25,128,20000,5000,16,cuda,1.3053762628555299,0.5524,1.6371453832626344,0.5502,0.3604307062923908,0.888671875,1.6371453832626344,0.5502,0.8415282964706421,0.4337751269340515,0.7378324270248413,0.23485571146011353,0.18219031393527985,12.218879699707031,0.75,0.39299073815345764,8.293575675714877,0.5183484797321798,11.459218978881836,0.14037084579467773,112.67333221435547,76795.8671875,1.3887680768966675,0.12524370849132538,97.46593475341797,1.7790864706039429,0.8650310635566711,5.711888313293457,1840.272216796875,0.25533440709114075,0.0022737544495612383,537.4843139648438,164.74925231933594,3.2624385628350328,1.63777494430542,5.14371253040693,0.3214820331504331,2914182.25,15.474275588989258,14.391499519348145,18.17604637145996,0.34175726771354675,0.5398633480072021,,,1.14565110206604,94.26185393333435,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,131,9525795,0.002265457882299817,2.6861969196505697e-06,0.1,adamw,25,128,20000,5000,16,cuda,1.2733776485443116,0.5352,1.2450197118759154,0.5712,0.7191370725631714,0.7490234375,1.2450197118759154,0.5712,0.6881536245346069,0.8521855473518372,0.5019571781158447,0.35646963119506836,0.3022614121437073,10.1842041015625,0.8125,0.6387529969215393,6.136704856066691,0.3835440535041682,8.815788269042969,0.2520206570625305,120.11432647705078,82192.515625,1.4597986936569214,0.13351476192474365,107.85569763183594,1.9697763919830322,0.8979420065879822,2.427795171737671,686.8720703125,0.2237573266029358,0.0008486670558340847,107.68879699707031,22.147220611572266,4.862406840377812,2.2053160667419434,9.073119099185927,0.5670699436991204,2956.34814453125,17.270334243774414,8.696815490722656,5.661642551422119,0.13341867923736572,0.2457031011581421,,,-0.4054608941078186,101.05790567398071,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,132,5852554,0.0011869884872803924,0.00011914034368925639,0.0,sgd,25,128,20000,5000,16,cuda,1.4073742581367492,0.498,1.3069025077819825,0.5432,0.894882433116436,0.6826171875,1.3069025077819825,0.5432,0.6580430269241333,0.9422239065170288,0.4839054048061371,0.30589377880096436,0.21215161681175232,7.692684173583984,0.75,0.634883463382721,10.956333765041856,0.684770860315116,11.49443531036377,0.012141391634941101,54.81198501586914,32832.00390625,1.0713191032409668,0.06092701479792595,4.6681294441223145,0.08526526391506195,0.08516621589660645,16.61001968383789,7624.9970703125,0.4653153717517853,0.009421090595424175,4349.0107421875,1058.595703125,4.1082830105479475,2.029273271560669,7.608554378086799,0.47553464863042494,5423.58203125,14.763409614562988,51.2480354309082,41.504817962646484,0.9924466013908386,0.6716747879981995,,,0.13642632961273193,93.71327352523804,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,133,8674200,0.00022715314518467126,1.2951949878090556e-06,0.2,adamw,25,128,20000,5000,16,cuda,1.2107579991340638,0.5712,1.1853109440803529,0.6172,0.6039876714348793,0.77734375,1.1853109440803529,0.6172,0.8602498769760132,0.4195198714733124,0.7473478317260742,0.10841058194637299,0.15229491889476776,8.900154113769531,0.9375,0.21112751960754395,7.396849738093416,0.4623031086308385,11.927886009216309,0.06907415390014648,57.62465286254883,34794.484375,1.1350383758544922,0.06405354291200638,16.639141082763672,0.3036431074142456,0.28875038027763367,9.70043659210205,3256.02734375,0.37618812918663025,0.004022995475679636,1378.289794921875,823.728759765625,1.6732325763568545,1.0431932210922241,2.8382656076919566,0.17739160048074729,86516.0234375,13.647320747375488,20.2498779296875,31.116439819335938,0.6367261409759521,0.5176396369934082,,,-0.2283797711133957,101.1316556930542,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,134,9437050,0.0017681406525063836,0.0004212265883631663,0.05,sgd,25,128,20000,5000,16,cuda,1.3879862409591674,0.5054,1.3154949902534485,0.5476,0.9908357039093971,0.640625,1.3154949902534485,0.5476,0.6188275814056396,1.0936654806137085,0.43374311923980713,0.3836677670478821,0.1663029044866562,8.242435455322266,0.6875,0.7372713088989258,10.23087578137225,0.6394297363357656,11.205774307250977,0.1513386219739914,53.66120147705078,32145.67578125,1.0310399532318115,0.05964793264865875,5.679380416870117,0.1037040501832962,0.10583774000406265,15.601452827453613,6998.8310546875,0.4375554323196411,0.008647428825497627,3295.07080078125,1128.0098876953125,2.9211364516613894,2.0717427730560303,7.938646808188356,0.49616542551177223,724.0691528320312,12.537371635437012,47.52994918823242,32.1865348815918,1.1157925128936768,0.7998983860015869,,,1.52028226852417,101.74887204170227,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,135,2255095,6.98771200123913e-05,0.00026229574149534197,0.05,adamw,25,128,20000,5000,16,cuda,1.2742973712921142,0.542,1.2008618890762328,0.5928,0.69815294444561,0.765625,1.2008618890762328,0.5928,0.7249277234077454,0.842451810836792,0.5709656476974487,0.5287123918533325,0.3173341751098633,7.095540523529053,0.625,0.9770280718803406,9.711046361936063,0.6069403976210039,11.770301818847656,0.01702822931110859,55.75431442260742,33411.7109375,1.0770152807235718,0.06197444722056389,7.853507995605469,0.14336954057216644,0.1408592015504837,24.31907081604004,10526.515625,1.2765800952911377,0.01300607156008482,11420.0302734375,4015.400390625,2.844057668595276,2.0172855854034424,7.517889631678428,0.46986810197990175,8057.2587890625,18.309616088867188,83.857666015625,66.24140167236328,1.1678187847137451,0.8487675786018372,,,-1.9565486907958984,101.7757875919342,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,136,4655357,0.00717786936702041,4.6638617309495814e-05,0.0,sgd,25,128,20000,5000,16,cuda,1.2483932540893554,0.5594,1.698337129020691,0.539,0.4058130718767643,0.8544921875,1.698337129020691,0.539,0.8459702730178833,0.4604716897010803,0.7305949926376343,0.1586872786283493,0.18572503328323364,12.752100944519043,0.9375,0.35542604327201843,11.144946874554334,0.6965591796596459,11.588247299194336,0.05539407953619957,57.234249114990234,34552.8671875,1.1324570178985596,0.06361951678991318,14.600536346435547,0.26626935601234436,0.25510138273239136,11.648375511169434,6323.1171875,0.22569337487220764,0.00781254842877388,2098.4912109375,1024.5028076171875,2.0483020596285315,1.3862617015838623,3.999869848270247,0.24999186551689043,59697.18359375,14.465961456298828,28.145606994628906,36.143001556396484,0.7959359288215637,0.6587895750999451,,,1.222550392150879,93.94062757492065,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,137,6983451,0.012033680707637854,0.0001221067097033776,0.1,sgd,25,128,20000,5000,16,cuda,1.3077577878952027,0.5242,1.2191757795333862,0.58,0.6776373311877251,0.7529296875,1.2191757795333862,0.58,0.7329282760620117,0.7955731749534607,0.581467866897583,0.2969353199005127,0.2450595647096634,9.462282180786133,0.875,0.5484610795974731,9.630135894021254,0.6018834933763284,10.11414909362793,0.1792055070400238,55.110164642333984,33263.6640625,1.0765944719314575,0.061258476227521896,16.661643981933594,0.3043467700481415,0.30233341455459595,6.792695045471191,3570.5576171875,0.20025593042373657,0.004411614499986172,694.31494140625,170.38052368164062,4.075083973233861,2.047729253768921,7.75028051793048,0.484392532370655,143524.015625,14.047773361206055,20.61342430114746,16.413471221923828,0.4369484782218933,0.428175687789917,,,0.5696552991867065,101.19109463691711,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,138,5106566,0.00035012154406687175,0.00012576577203597938,0.05,adamw,25,128,20000,5000,16,cuda,1.1384468554496765,0.6016,1.5879569971084595,0.6058,0.17917161621153355,0.9267578125,1.5879569971084595,0.6058,0.9322960376739502,0.21228332817554474,0.899592399597168,0.04286770895123482,0.06770390272140503,10.622665405273438,1.0,0.10157009959220886,9.62862792102685,0.6017892450641781,12.425996780395508,0.052471596747636795,61.03489685058594,37494.78125,1.152543067932129,0.06784427911043167,23.56867790222168,0.43007877469062805,0.38615086674690247,5.700583457946777,2373.84765625,0.19434310495853424,0.0029330153483897448,501.73382568359375,386.6153259277344,1.2977597938716372,0.729616105556488,2.074284077392405,0.1296427548370253,2082046.375,14.439532279968262,9.98167610168457,20.052417755126953,0.5393582582473755,0.4411839246749878,,,-0.2819269597530365,101.4975106716156,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
image,cifar10,vit,139,1154924,0.0014670057457263342,0.00014221239151779723,0.2,sgd,25,128,20000,5000,16,cuda,1.457516928100586,0.4796,1.3436920293807983,0.519,1.1857023239135742,0.560546875,1.3436920293807983,0.519,0.6514747142791748,0.9856600761413574,0.45919954776763916,0.3295973539352417,0.31133395433425903,8.305620193481445,0.75,0.6860799789428711,7.695725599705433,0.4809828499815896,11.341840744018555,0.17827317118644714,54.60049819946289,32696.0078125,1.038583517074585,0.06069206818938255,4.612575054168701,0.08419311791658401,0.08447862416505814,10.6159086227417,4120.6962890625,0.2915903329849243,0.005091339815407991,1761.11328125,473.2203674316406,3.7215500482539965,1.9508049488067627,7.0343472780867335,0.43964670488042085,43149.6796875,14.626906394958496,33.20539474487305,25.66156005859375,0.7194600105285645,0.5318424701690674,,,0.7849388122558594,101.08034443855286,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented
